Customer_ID,marriage,sex,education,LIMIT_BAL,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,Bill_amt1,Bill_amt2,Bill_amt3,Bill_amt4,Bill_amt5,Bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,AVG_Bill_amt,PAY_TO_BILL_ratio
16,2,1,4,210000,25,0,0,0,0,-2,-2,179247.83,21612.44,5259.34,0.0,0.0,0.0,3151.33,2000.0,0.0,0.04,0.0,0.0,34231.67,0.03
17,2,1,1,200000,44,0,0,0,0,0,0,203044.65,140347.03,139281.17,138460.42,134496.46,126617.29,4500.91,4916.06,4504.76,4205.11,4144.95,3100.18,147041.67,0.03
18,1,0,3,290000,55,0,0,0,0,0,0,21371.48,25278.89,29126.9,32899.86,36634.82,40460.29,4999.82,4999.66,4999.97,4999.88,5000.12,5000.2,30962.0,0.16
19,1,1,3,300000,52,0,0,0,0,0,0,293174.91,268651.42,285525.05,235772.92,221122.51,221269.4,14999.99,24999.95,7999.99,21999.86,10060.09,9000.11,254252.5,0.06
20,1,0,2,450000,29,0,0,0,0,0,0,179547.22,157945.25,118191.91,82644.84,17720.09,7066.99,8101.39,12029.2,35523.97,38.05,2015.1,7522.12,93852.67,0.12
21,2,1,1,200000,32,-1,-1,-1,-1,-1,-1,34500.01,10704.52,3836.59,12558.41,6763.24,7698.76,36659.14,3834.13,12558.82,6764.01,7700.1,4.02,12677.33,0.89
22,2,1,2,50000,31,0,0,0,0,0,2,21703.89,22741.18,23865.89,25464.39,27347.77,26774.18,1399.9,1500.2,2000.18,2620.2,0.0,1163.8,24649.67,0.06
23,1,1,2,160000,31,-2,-2,-2,-2,-2,-2,239.54,0.0,0.0,0.0,1446.37,426.13,0.21,0.07,0.09,1446.34,425.98,0.0,351.83,0.89
24,1,1,2,130000,53,0,0,0,0,0,0,126751.06,119997.57,108739.64,71835.59,62538.47,61904.78,5996.02,4148.16,2477.19,2345.92,2640.05,29999.83,91960.83,0.09
25,1,1,2,120000,28,1,-2,-2,-2,-2,-2,0.0,0.38,0.0,0.44,0.0,0.0,0.05,0.0,0.0,0.07,0.0,0.21,0.0,0.0
26,2,1,2,80000,25,1,-2,-2,-2,-2,-2,0.0,0.73,0.0,0.03,0.0,0.0,0.0,0.16,0.11,0.0,0.0,0.27,0.0,0.0
27,1,1,2,470000,36,-1,0,0,-1,-1,-1,871.96,1592.28,1518.42,285.24,688.43,2101.21,1005.07,1000.17,285.11,687.91,2100.12,1013.98,1176.17,0.86
28,2,0,1,100000,32,0,0,0,0,0,0,26651.35,26126.16,26608.15,24688.79,25699.0,26808.44,2000.14,1999.78,1999.83,1699.93,1499.96,1499.79,26097.0,0.07
29,1,1,1,170000,36,-1,-1,-1,-1,-1,-1,1218.71,2435.5,1537.01,2156.54,1898.81,2655.74,2434.07,1536.89,2155.9,1898.12,2655.95,1626.32,1983.17,1.03
30,2,1,1,230000,29,0,0,-1,-1,0,0,23585.2,6633.29,2525.83,146958.32,150080.17,153187.23,5576.04,2524.84,146959.29,4451.75,4586.05,5497.19,80494.83,0.35
31,1,1,2,240000,46,0,0,0,0,-2,-2,177220.98,169896.67,166064.03,0.07,0.25,0.0,7053.34,6519.85,0.0,0.0,0.18,0.0,85530.33,0.03
32,1,1,3,110000,41,0,0,0,0,0,0,101316.61,104929.86,106053.42,108641.15,48518.65,33447.57,5299.86,4300.16,4800.07,2499.99,2000.0,1999.9,83817.83,0.04
33,2,0,2,140000,26,0,0,2,2,2,2,131367.28,146194.4,140202.2,144035.57,140418.85,130270.99,17000.01,0.0,11399.96,550.08,5300.06,5399.74,138747.83,0.05
34,2,1,2,160000,28,-1,-1,-1,-1,-1,-1,5171.18,3634.5,4435.93,1977.82,3781.13,1732.61,3634.2,4435.6,1977.97,3781.22,1731.84,714.78,3455.33,0.79
35,1,0,2,270000,40,0,0,0,0,0,0,42597.79,44610.2,46665.17,48685.93,49574.11,50622.18,3035.96,3092.1,3110.91,1999.81,2000.06,2000.02,47125.83,0.05
36,1,1,1,150000,31,1,-2,-2,-2,-2,-2,1.97,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.24,0.0,0.0
37,2,0,2,270000,29,0,0,0,0,-1,-1,18465.76,20987.26,17555.09,17801.15,1851.94,2045.14,3022.1,1000.01,2054.25,1857.06,2068.84,6327.04,13117.67,0.21
38,1,1,2,50000,23,0,0,0,0,-1,0,50641.63,50198.11,23987.12,0.0,20128.91,20501.81,2741.01,2078.92,2176.92,41608.22,712.84,836.98,24701.5,0.34
39,1,0,1,240000,36,0,0,0,0,2,2,14560.11,15511.84,17242.34,18452.22,18013.01,19406.22,1500.11,2000.13,1499.92,0.16,1699.76,699.97,17197.17,0.07
40,1,0,2,500000,31,0,0,0,0,0,0,378886.48,382234.73,274585.67,273717.79,168418.06,167635.75,15057.16,11035.31,11034.91,7028.84,8035.06,10388.14,274246.17,0.04
41,2,0,2,20000,23,2,0,0,2,2,-2,15020.85,17450.68,19852.24,19438.05,0.0,0.25,5999.9,3000.29,295.09,0.31,0.23,0.0,11960.5,0.13
42,2,0,1,110000,33,0,0,0,0,0,0,9496.74,12632.66,88333.45,53977.09,23686.98,26566.92,4018.24,80003.37,1500.08,12012.98,6999.74,1999.93,35782.33,0.5
43,2,1,2,50000,22,0,0,0,0,0,0,18472.2,19482.87,19431.56,19307.56,19361.19,19738.35,1328.92,1306.81,682.88,857.14,856.13,834.0,19298.5,0.05
44,1,1,1,150000,37,0,0,0,0,0,0,61137.78,62349.7,63652.77,64955.75,66249.38,67636.53,2229.81,2306.28,2355.99,2372.14,2455.67,2630.88,64330.17,0.04
45,2,1,3,180000,39,1,-1,0,-1,0,0,0.72,4834.57,2219.97,11302.86,9358.93,9040.55,4834.92,2200.13,11303.17,186.88,180.98,3050.1,6126.33,0.59
46,1,0,2,160000,50,1,2,2,2,0,0,142778.93,146633.98,148953.08,144119.96,48552.17,49768.96,7699.99,6100.17,0.0,1999.91,2000.02,2000.08,113468.0,0.03
47,2,1,1,60000,26,1,2,0,0,0,0,29649.45,21655.14,28735.81,42732.5,46404.46,37992.29,0.04,8000.14,14999.88,8999.89,9999.97,0.0,34528.67,0.2
48,2,1,2,70000,32,2,0,0,0,0,0,67954.11,58404.12,50035.84,36907.09,29440.17,19495.13,3007.16,1793.93,1999.85,966.86,999.98,870.06,43706.0,0.04
49,2,1,3,130000,32,0,0,0,0,0,0,12534.38,14316.95,15655.71,4918.33,6917.37,8944.48,1999.88,2040.0,2999.93,2000.19,2025.65,6561.06,10548.0,0.28
50,2,0,3,200000,30,0,0,0,0,0,0,111051.48,112268.97,76724.37,72486.46,74107.28,67036.02,5020.0,4004.81,2799.94,3300.05,3000.04,2699.76,85613.17,0.04
51,2,1,2,160000,52,0,0,0,0,0,0,38694.85,40757.21,42768.97,44447.5,46269.11,48034.31,2999.96,2699.91,2699.58,2700.19,2700.01,2699.92,43495.67,0.06
52,2,0,1,240000,35,0,0,0,0,0,0,241499.83,236555.41,229622.63,202295.78,165637.91,159245.24,8500.27,10199.83,8366.05,6069.98,9999.7,6043.03,205809.5,0.04
53,1,1,3,150000,39,0,0,0,0,0,0,108755.19,112553.6,113581.75,115845.54,118369.0,121785.91,5162.98,3999.92,3763.89,4000.35,4999.96,5030.24,115148.83,0.04
54,2,1,2,360000,47,-2,-2,-2,-2,-2,-2,3898.96,6572.13,7485.07,24471.56,5935.28,4998.23,7147.76,8063.26,25217.22,6487.0,5000.2,0.0,8893.67,0.97
55,2,0,2,20000,30,0,0,0,0,0,0,20001.73,20040.78,20204.48,19997.28,20367.51,20399.64,1400.11,1290.26,693.91,869.22,2101.83,1214.11,20168.5,0.06
56,1,1,3,240000,33,0,0,0,0,-1,0,129600.5,133162.64,30097.95,366.46,725.24,2576.55,7000.12,1030.21,6.7,725.06,2217.05,158214.87,49421.0,0.57
57,1,1,3,30000,38,0,0,0,0,0,0,24505.06,25593.3,26627.74,27677.8,28082.01,30067.66,1800.17,1750.13,1800.05,1164.72,2600.04,1199.68,27092.5,0.06
58,2,0,2,130000,38,0,0,0,0,2,0,16656.8,17874.49,18775.08,20857.09,20225.72,21395.33,1500.1,1499.6,2399.93,0.07,1500.25,1499.83,19297.67,0.07
59,2,1,1,70000,25,0,-1,-1,-1,-2,-2,5328.88,212.35,41068.2,0.0,0.0,0.0,212.09,41999.79,0.29,0.24,0.0,0.0,7584.67,0.93
60,2,1,2,40000,44,2,2,2,2,2,2,35514.46,36175.91,37490.37,38726.47,39795.17,40230.48,1550.0,2200.05,2169.96,2001.08,1600.92,1602.01,37988.67,0.05
61,1,0,2,160000,40,-1,-1,-1,-2,-2,-2,1673.02,2927.89,0.29,0.15,0.5,0.0,2940.95,0.0,0.02,0.0,0.0,0.0,766.5,0.64
62,1,0,3,50000,41,1,2,2,2,0,0,26915.2,26184.18,29260.33,28445.32,28877.88,27655.04,0.14,3500.28,0.0,1099.87,1099.87,2000.3,27889.5,0.05
63,2,0,1,50000,56,1,2,0,0,0,0,52107.32,50444.1,42651.48,9965.03,9719.41,9951.65,52.06,2175.95,334.07,335.95,374.8,1000.17,29140.17,0.02
64,2,0,2,150000,26,-2,-2,-2,-2,-2,-2,3625.33,0.06,0.42,0.0,1.08,0.46,0.0,0.18,0.0,0.0,0.0,0.0,604.5,0.0
65,1,0,1,500000,46,-1,-1,-1,-1,-1,-1,3580.83,18785.51,10742.04,37171.1,6191.2,31453.41,18784.86,10741.99,37170.79,6191.88,31453.03,12333.15,17987.17,1.08
66,2,1,3,170000,42,0,0,0,0,0,0,77796.0,66419.64,83733.07,89388.93,97696.97,101062.29,4999.97,20000.52,7999.71,10000.01,4999.94,4000.35,86016.0,0.1
67,2,1,1,220000,32,1,-1,-1,-1,0,-1,0.0,4046.96,4924.92,12554.58,1035.38,521.8,4047.81,4925.0,12605.89,0.3,571.73,7655.91,3847.5,1.29
68,1,1,2,50000,26,0,0,0,0,0,0,14661.28,11585.8,9275.55,11181.25,2931.18,27210.02,2999.86,999.87,5000.26,0.0,24999.82,5000.0,12807.17,0.51
69,2,0,1,100000,33,0,0,0,0,0,0,84646.33,87368.64,88488.57,83638.69,80893.98,81643.32,4084.81,3504.75,3478.96,3096.85,3258.94,3253.2,84446.67,0.04
70,1,1,1,320000,34,-2,-2,-2,-2,-2,-2,11317.01,2611.28,1264.18,3030.5,12999.96,8806.82,2617.03,1265.36,3030.95,13000.9,8807.13,4003.26,6672.17,0.82
71,2,1,2,30000,23,0,0,0,0,0,0,24608.07,24430.35,23881.18,24234.39,24852.43,7814.44,1700.03,1599.84,1287.18,1295.95,500.03,1549.97,21636.5,0.06
72,1,1,2,400000,30,0,0,0,0,0,0,30666.91,31159.45,23052.99,8452.3,10387.57,9222.01,5033.99,2086.21,2025.24,5005.91,543.01,1710.62,18823.83,0.15
73,2,1,1,360000,27,-1,-1,-1,-1,-1,0,659.6,661.08,658.04,1095.44,4947.92,3860.06,663.11,661.19,1100.06,4953.29,19.12,1263.88,1980.33,0.73
74,2,1,1,150000,25,0,0,0,0,0,0,42438.44,35082.13,19539.06,13276.38,3200.14,0.0,2264.98,2537.78,277.27,199.95,0.0,0.09,18922.33,0.05
75,2,0,1,280000,34,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.25,0.0,0.03,0.0,0.0
76,2,0,2,20000,23,1,2,2,2,2,0,4672.82,6432.83,6181.08,6777.32,6524.52,8407.92,2000.02,0.0,699.95,0.0,2000.03,2000.07,6499.5,0.17
77,1,1,1,50000,34,0,0,0,-1,0,0,27965.18,28539.39,11597.52,6611.37,7348.93,7569.33,1267.0,1553.45,7511.04,999.93,343.07,999.95,14938.67,0.14
78,2,0,3,30000,51,0,0,0,0,2,2,25357.69,26446.75,26946.17,28956.62,29408.51,29840.48,1800.07,1299.85,2400.0,999.99,1000.02,0.11,27826.0,0.04
79,2,1,2,210000,35,0,0,0,0,0,0,147811.64,135625.17,125469.27,103407.99,75497.94,72018.81,5000.13,7000.29,5000.11,3999.77,2447.21,3000.23,109972.0,0.04
80,2,1,2,130000,29,0,0,2,0,0,0,34527.04,52867.58,51456.48,60045.63,47696.15,43676.76,18999.75,0.29,10000.13,10000.07,10000.14,9999.95,48378.67,0.2
81,2,0,2,180000,26,0,0,0,0,0,0,67276.73,65363.56,68877.31,48957.55,45255.81,41869.08,2999.89,10000.04,1999.63,1500.02,1499.98,1599.84,56266.5,0.06
82,1,1,2,230000,43,2,2,2,0,0,0,222820.0,232264.2,227053.72,196356.83,199524.92,201836.05,14299.84,158.23,7100.21,7400.02,7499.97,7819.98,213309.0,0.03
83,2,0,1,50000,40,1,2,0,0,0,0,25667.72,26440.12,27213.18,28521.04,28458.41,29052.47,1500.02,1500.4,1770.99,1500.46,1052.8,1092.77,27558.83,0.05
84,2,1,2,50000,24,0,0,0,0,0,0,27788.0,19742.0,20673.18,16336.25,16921.05,17488.59,1999.75,1600.05,1000.07,1000.0,1000.1,499.93,19824.67,0.06
85,2,1,2,20000,22,0,0,0,0,0,0,19247.99,20053.82,19132.58,19397.88,19701.25,20505.39,2000.01,1300.15,678.03,706.06,2036.89,0.0,19673.33,0.06
86,2,0,3,90000,42,2,2,2,2,2,2,64762.3,63163.45,32788.77,31640.28,29239.75,28305.93,0.0,2899.81,0.0,2500.02,0.21,1299.69,41650.33,0.03
87,1,1,2,360000,43,-1,-1,-1,-1,-1,-1,1998.55,10144.65,4005.28,19158.45,3568.4,31170.83,10144.94,4722.85,19158.45,3568.91,31170.96,3282.99,11674.5,1.03
88,1,0,2,190000,36,0,0,0,0,0,0,79583.76,83108.42,82178.13,80874.56,81719.61,87683.96,7006.94,2912.53,2871.06,3501.24,8000.73,3233.88,82525.0,0.06
89,2,1,3,20000,47,1,2,-1,-1,-1,-1,3133.46,1472.91,390.99,390.04,389.54,0.3,0.09,390.22,390.15,390.14,0.0,780.09,962.67,0.34
90,1,0,2,230000,41,0,0,0,0,0,0,226466.34,231185.97,231272.03,228653.24,225471.74,224853.01,10000.01,10499.88,10000.08,8999.98,8200.16,8999.81,227983.83,0.04
91,1,1,3,50000,45,0,0,0,-2,-1,-1,4409.28,4054.24,0.0,0.0,6552.86,19653.04,4049.69,0.0,0.22,6553.08,13100.12,0.07,5778.5,0.68
92,1,0,1,280000,42,0,-1,-1,0,0,0,18958.33,2640.11,182250.42,173920.4,160553.24,147123.49,2676.02,189569.85,6083.9,5797.91,4627.13,3589.12,114241.33,0.31
93,2,0,2,110000,28,0,0,0,0,0,0,111425.41,95723.25,97711.68,99686.82,100937.39,103138.53,4299.82,4421.9,4492.74,3800.15,3975.26,3773.53,101437.17,0.04
94,1,1,2,50000,34,2,2,2,2,2,2,43663.47,44654.12,45650.46,46320.36,45289.91,48320.73,2000.03,1999.85,1699.9,0.17,3759.71,1700.06,45650.0,0.04
95,1,1,2,80000,28,2,0,0,0,0,0,52063.32,49883.17,22348.58,22062.55,8722.82,7253.9,2158.08,1707.84,1411.06,3.73,21.09,220.03,27055.67,0.03
96,2,0,1,300000,31,-1,-1,-1,-1,-1,-1,358.2,360.32,359.85,359.7,979.46,360.07,359.99,359.99,360.06,980.48,360.06,3419.89,463.33,2.1
97,1,0,1,210000,41,-2,-2,-2,-2,-2,-2,2360.86,651.74,400.48,63.3,683.87,0.0,652.19,400.78,62.85,684.07,0.33,0.15,693.5,0.43
98,2,1,1,250000,30,0,0,0,0,-1,-1,21549.45,23931.95,37329.88,26338.79,4835.32,9655.23,3500.06,15054.26,7885.16,4836.04,9654.9,5000.06,20606.83,0.37
99,1,1,1,150000,37,0,0,-1,-1,-1,-2,26415.66,18915.18,16047.1,17632.35,0.0,0.4,2496.99,16047.33,18776.02,0.1,0.02,0.19,13168.5,0.47
100,2,1,1,40000,23,0,0,0,0,0,0,10389.73,11409.43,12970.26,13246.53,11023.98,9798.06,1200.33,1751.39,1026.85,250.23,384.84,1000.0,11472.83,0.08
101,2,0,2,50000,29,0,0,0,0,0,0,47372.8,48075.71,23459.97,16175.02,17752.63,18302.63,1999.59,2083.08,1999.96,1999.9,999.76,1000.14,28523.0,0.06
102,2,1,1,200000,31,-1,-1,-1,-1,0,0,7772.68,3425.41,2000.09,999.34,2999.96,1999.47,3643.3,2000.28,999.99,2000.23,0.0,1248.75,3199.83,0.52
103,1,0,1,280000,44,1,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,0.0,4266.21,360.08,360.07,360.13,317.07,6251.64,8.12,-2.33,-546.93
104,1,1,2,170000,49,1,2,0,0,0,0,153321.9,149026.17,150921.1,145688.96,33587.13,0.0,0.0,6320.16,5045.1,1000.04,0.0,0.23,105424.33,0.02
105,1,1,2,260000,35,-1,-1,-1,-1,0,-1,213.69,213.43,203.0,2570.03,187.36,5468.88,214.04,203.95,2581.76,0.9,5495.83,427.16,1476.0,1.01
106,2,1,1,170000,37,-1,-1,-1,-1,0,0,49698.47,32301.97,74151.74,38577.61,77818.46,47975.44,32304.68,74198.18,38804.06,66000.09,40970.25,25156.0,53420.83,0.87
107,1,1,2,110000,34,0,0,0,0,0,0,18326.96,19384.73,20399.39,20728.9,21464.07,21739.25,1299.93,1279.69,599.88,1005.13,708.98,731.89,20341.17,0.05
108,2,0,1,370000,31,0,0,0,0,0,0,35605.19,39837.86,41575.54,44178.44,47839.79,54340.71,5000.28,2999.94,5000.08,5000.05,8000.1,10000.0,43895.83,0.14
109,2,0,3,50000,46,0,0,0,0,0,0,50131.75,28152.36,20746.82,27624.33,16014.91,16745.47,1387.84,2011.02,1006.24,999.81,999.83,1000.21,26569.0,0.05
110,1,1,2,500000,40,-1,-1,-1,-1,-1,-2,2230.39,0.0,2312.33,2927.92,0.09,0.08,0.0,2321.18,2927.85,0.0,0.18,0.28,1243.67,0.7
111,1,1,1,240000,38,-1,-1,-1,0,0,-1,8211.97,20000.98,44384.58,28732.89,13199.3,43790.08,19999.9,44383.62,750.3,1999.81,81799.93,1050.03,26387.0,0.95
112,2,0,2,80000,28,0,0,0,0,2,0,47914.72,49963.15,49964.07,50142.36,46887.75,47591.86,3122.26,2123.2,4299.87,0.18,2800.14,3000.01,48744.5,0.05
113,2,1,1,240000,29,0,0,0,0,0,0,23094.43,18952.03,18976.83,12055.58,7877.33,5531.47,2009.05,1999.81,300.02,1000.14,2000.13,1999.89,14414.33,0.11
114,1,1,2,80000,32,0,0,0,0,0,0,81073.81,78262.2,76163.29,76811.34,77511.35,79069.61,3700.19,3400.37,2900.06,2899.81,2841.0,3099.76,78148.67,0.04
115,2,1,1,200000,34,1,-2,-2,-1,2,2,0.0,0.13,1.16,347.17,196.85,2916.61,0.12,0.0,347.15,0.18,2719.9,0.08,576.83,0.89
116,1,0,2,360000,28,0,0,0,-2,-1,-1,207569.51,182384.74,161294.04,199802.89,198614.5,2382.94,6114.05,4899.03,202073.92,200395.19,2383.04,98668.28,158675.0,0.54
117,2,1,1,260000,40,-2,-2,-2,-2,-2,-2,1.0,0.59,0.0,1.42,0.0,0.16,0.0,0.07,0.0,0.0,0.28,0.05,0.0,0.0
118,1,0,2,360000,35,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.01,-103.0,-0.0
119,2,1,1,20000,22,0,0,0,0,0,0,20137.11,20178.53,18067.08,18666.57,19114.57,19546.91,1299.89,1300.9,899.86,899.82,899.99,1599.84,19285.17,0.06
120,2,0,2,20000,44,0,-1,-1,0,0,0,19695.92,202.52,19378.0,19961.14,19962.11,19980.42,203.11,20710.43,1304.96,696.02,711.95,860.01,16530.17,0.25
121,2,1,2,30000,23,0,0,0,0,2,0,22516.23,24148.68,25436.1,28390.71,27800.24,28683.76,2000.17,2000.27,3699.75,0.0,1500.17,1499.86,26163.0,0.07
122,2,1,1,330000,28,0,0,0,0,0,0,32316.3,33704.18,28743.62,28216.12,25432.2,19937.86,1999.98,1999.63,1999.91,800.22,686.9,811.79,28058.5,0.05
123,1,0,5,210000,43,0,0,0,0,0,0,197742.04,201948.44,208690.42,211924.93,48723.64,49743.47,7500.01,10000.15,9085.2,1744.17,1804.14,1815.66,153129.0,0.03
124,2,1,1,60000,25,2,2,0,0,0,0,37287.46,36412.05,37279.55,35321.96,36099.03,36724.46,0.01,1799.98,1413.99,1499.87,1377.07,1401.97,36520.5,0.03
125,2,1,1,310000,26,-2,-2,-2,-2,-2,-2,297.58,0.44,0.0,0.0,0.0,0.0,0.0,0.03,0.4,0.05,0.21,0.0,49.5,0.0
126,2,0,1,200000,32,-2,-2,-2,-2,-1,-1,47243.97,92754.13,57927.74,523.9,223.16,7037.3,62330.21,57927.62,522.79,223.13,7036.79,11000.12,34284.83,0.68
127,1,1,3,100000,41,1,2,2,2,0,0,102249.32,97550.17,101882.74,98310.72,97546.77,101280.71,0.18,8899.88,0.16,3499.51,7570.13,0.0,99803.5,0.03
128,2,1,1,40000,26,2,2,2,2,2,2,26487.85,27254.19,26532.42,29089.21,28520.66,28913.46,1500.03,0.03,2999.96,200.01,1000.21,1200.1,27799.83,0.04
129,1,1,2,180000,53,-2,-2,-2,-2,-2,-2,0.8,532.73,2328.44,1778.33,2510.18,183.21,532.87,2329.31,1777.79,2514.23,184.23,1103.02,1222.33,1.15
130,2,1,2,50000,25,0,0,0,0,0,-2,42685.33,40406.14,31810.86,13898.5,0.3,0.0,2000.04,1813.99,999.97,0.22,0.06,0.12,21466.67,0.04
131,1,1,2,80000,42,1,-2,-2,-2,-2,-2,1.27,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
132,1,1,2,110000,24,1,-1,0,0,0,0,0.0,65064.22,66102.96,54274.41,51790.64,52928.44,68500.09,3114.28,4015.98,2000.02,1999.98,2000.11,48150.67,0.28
133,2,0,2,20000,25,0,0,3,2,2,-1,15787.7,21698.04,21054.56,20354.78,19979.05,3469.39,6499.79,0.0,0.0,10000.21,25065.13,176.96,17057.67,0.41
134,2,1,1,240000,25,1,-1,-1,-1,-1,-2,0.0,586.62,0.41,2417.2,0.04,0.0,586.87,0.0,2416.95,0.0,0.11,7642.01,500.67,3.54
135,2,1,2,20000,22,0,0,0,0,0,2,16072.26,17204.64,17903.31,18321.21,19679.6,18292.58,1699.7,1299.85,700.31,1642.97,0.0,999.74,17912.17,0.06
136,2,0,1,420000,33,1,-1,-1,-2,-2,-2,0.0,6508.25,1.32,0.63,0.0,0.0,6698.62,0.03,0.18,0.18,0.21,0.0,1053.17,1.06
137,2,1,1,120000,30,-1,-1,-1,-1,-1,-1,416.04,416.31,416.65,0.0,832.42,415.88,416.15,416.3,0.0,831.89,415.83,415.78,416.0,1.0
138,1,0,2,340000,49,0,0,0,0,0,0,317686.33,302984.88,263928.97,260915.56,257000.78,210033.89,16999.48,17999.71,12999.92,11999.99,11999.83,7999.87,268758.33,0.05
139,1,0,3,220000,42,-1,-1,-1,-1,-1,-1,285.04,825.06,0.0,1230.9,3226.93,3819.38,825.27,0.0,1229.9,3226.94,3819.98,3650.08,1564.5,1.36
140,1,1,3,30000,41,-2,-2,-2,-2,-2,-2,0.0,0.08,0.0,0.58,0.26,0.56,0.02,0.0,0.25,0.3,0.1,0.03,0.0,0.0
141,2,1,2,20000,53,4,4,3,3,2,2,18396.57,17825.46,18548.68,19116.8,18679.02,19811.72,0.01,1299.91,1169.87,0.22,1599.97,0.07,18729.67,0.04
142,2,1,3,50000,52,0,0,0,0,0,0,34781.32,34458.38,33310.03,18032.49,18740.21,19408.69,1725.12,1800.5,3000.11,999.85,1000.0,657.0,26455.17,0.06
143,2,0,2,20000,34,-2,-2,-2,-2,-2,-2,2199.13,1530.0,749.65,2279.97,1499.12,779.61,1530.24,749.99,1140.07,3000.24,779.93,0.08,1506.5,0.8
144,2,1,2,50000,26,0,0,0,0,0,0,29357.19,30482.48,31179.34,18401.05,18784.85,19247.93,1603.13,1299.85,657.99,680.03,773.36,524.11,24575.5,0.04
145,1,1,3,50000,42,3,2,2,0,0,0,34540.63,30556.65,29577.99,29530.42,28275.94,28767.54,1000.08,999.65,999.99,999.95,999.81,999.91,30208.17,0.03
146,1,0,1,150000,38,5,4,3,2,2,-2,288586.1,282677.48,159283.03,148308.5,143971.57,139649.22,0.0,0.22,0.46,5000.21,5000.08,0.18,193746.0,0.01
147,1,0,3,360000,53,0,0,0,0,0,0,8669.0,8253.46,8987.77,6869.04,5604.72,6158.05,1303.27,1512.98,706.39,699.87,599.87,1999.88,7423.5,0.15
